"KEY","C","F","H","Time"
"-M_v-PBa-a5chua-NWtc","32","89.599998","49","1621286173"
"-M_v-PY8BwlqNyDipXZ1","32","89.599998","49","1621286175"
"-M_v-PtgA4V50zLLGlaA","32","89.599998","49","1621286176"
"-M_v-QFGKRa1jC8dZgmy","32","89.599998","49","1621286178"
"-M_v-Qesy1m1ClrD5Ayi","32","89.599998","49","1621286179"
"-M_v-R0ThnN1MvGd7OKf","32","89.599998","49","1621286181"
"-M_v-RN3kmWTigpxK6fj","32","89.599998","49","1621286182"
"-M_v-RibiXowYI8WnlL6","32","89.599998","49","1621286184"
"-M_v-S4C-GQLbQuMB51t","32","89.599998","49","1621286185"
"-M_v-SQoy6RL1A25iE5r","32","89.599998","49","1621286187"
"-M_v-SmNBC_aRIOjKCyu","32","89.599998","49","1621286188"
"-M_v-T7wSU01t32DT4kX","32","89.599998","49","1621286190"
"-M_v-TUYM0JeAwdVRwZ9","32","89.599998","49","1621286191"
"-M_v-Tq9EWBRBj48vASf","32","89.599998","49","1621286192"
"-M_v-UBio1ystqytJw8r","32","89.599998","49","1621286194"
"-M_v-UYJxlhNF1Jfr0GI","32","89.599998","49","1621286195"
"-M_v-UtrEv1GZdOBU4OE","32","89.599998","49","1621286197"
"-M_v-VFRaEctYckJQ2jO","32","89.599998","49","1621286198"
"-M_v-Vaypvdf6zcaw_Ms","32","89.599998","49","1621286200"
"-M_v-VxXU_mqh5c6EvPt","32","89.599998","49","1621286201"
"-M_v-WJ3E7Oab_xbpSoX","32","89.599998","49","1621286203"
"-M_v-WeeprdMyeiH4vTB","32","89.599998","49","1621286204"
"-M_v-XMO1t4Ttgxyeksr","32","89.599998","49","1621286205"
"-M_v-XhwovZ8qUxjhgLO","32","89.599998","49","1621286208"
"-M_v-Y5F7izK35sO6RqZ","32","89.599998","49","1621286210"
"-M_v-YRp-3mns_s_yqBj","32","89.599998","49","1621286211"
"-M_v-YnOx7u24-wBWue9","32","89.599998","49","1621286212"
"-M_v-Z8xgfKDlJa4SGhu","32","89.599998","49","1621286214"
"-M_v-ZVV53FcjZvRtLEs","32","89.599998","49","1621286215"
"-M_v-Zr3sCFzmQa90Uzy","32","89.599998","49","1621286217"
"-M_v-_Ca_A-YEu0uMUE9","32","89.599998","49","1621286218"
"-M_v-_Z7c2E_86UQkx-3","32","89.599998","49","1621286220"
"-M_v-_uhZWYdKOULElNG","32","89.599998","49","1621286221"
"-M_v-aGGOFummwb6uBEw","32","89.599998","49","1621286223"
"-M_v-abs4UxoYvoM6zl-","32","89.599998","49","1621286224"
"-M_v-ayPnBFXhAtQBvRY","32","89.599998","49","1621286225"
"-M_v-bJzrklbs3suaTzy","32","89.599998","49","1621286227"
"-M_v-bfZa3QddJyaYuW2","32","89.599998","49","1621286228"
"-M_v-c17Hbf_i4ZpGIbK","32","89.599998","49","1621286230"
"-M_v-cNgp32Nwc7VLDj1","32","89.599998","49","1621286231"
"-M_v-cjDGbWhSGTqvAw5","32","89.599998","49","1621286233"
"-M_v-dR5mJ98UuGwM3JV","32","89.599998","49","1621286234"
"-M_v-dm_WRTehxNSTymh","32","89.599998","49","1621286237"
